PC1,PC2,PC3,Time (ps),ΔGbind,ΔGbind_Coulomb,ΔGbind_Covalent,ΔGbind_Vander,ΔGbind_HBond,ΔGbind_Lipophilic,
-14.07025128,12.61898585,-24.24215329,16167.66467,-76.03726737,-18.95317826,-6.535015947,-48.36356792,-2.442150853,-31.08236656,
-10.06153228,11.87881023,-22.43466017,16267.46507,-72.54019632,-22.37095422,-6.658844788,-52.14276467,-2.222107352,-32.64603915,
-8.789064325,14.30701615,-18.27788803,16367.26547,-75.18621075,-25.84807092,-5.948120855,-47.88236742,-1.112717123,-30.46425892,
-4.9478228,20.470795,-9.05394084,16467.06587,-75.96826943,-21.1623642,-5.721020357,-46.31143452,-1.598724283,-39.02648672,
-9.349608194,17.0195032,-15.58049653,16566.86627,-70.72723216,-9.176118759,-6.947674395,-50.24252966,-1.696454991,-28.70851005,
-4.990752317,21.51784573,-15.70785208,16666.66667,-71.73282345,-18.03932278,-3.977112139,-44.91261565,-0.421122678,-28.75168887,
-11.20756758,16.65379322,-25.18218298,16766.46707,-72.65009405,-11.91269436,-0.354106638,-47.79549042,-0.140672466,-28.654546,
-8.63023309,15.36561223,-21.09916782,16866.26747,-67.71629238,-21.75111353,-6.748020678,-55.3195979,-1.692747305,-23.58225656,
-12.99029313,12.36445777,-25.89351694,16966.06786,-76.27587889,-33.13621716,-2.287054255,-57.31184637,-0.392381902,-29.79552538,
-3.475353174,14.17024599,-22.20937605,17065.86826,-83.16345007,-15.31554461,-4.854957897,-48.3477375,-1.76763015,-23.69236135,
-10.03644445,11.81736392,-24.45588887,17165.66866,-73.63305596,-18.34713861,-3.378679901,-49.77222688,-3.130309166,-36.27654039,
-4.994249409,13.60935117,-25.35426321,17265.46906,-89.23779692,-15.27720215,-5.055369088,-55.65835562,-0.283092929,-32.01444364,
-7.181704298,8.150378337,-26.97578508,17365.26946,-79.83633811,-17.89309042,-5.100490336,-55.99100517,-2.052958937,-27.83911754,
-0.801163134,13.56728439,-24.87609026,17465.06986,-70.62033604,-21.21512891,-7.088065442,-63.36327466,-1.02337993,-34.20352263,
-7.282351378,11.38401237,-25.22550573,17564.87026,-78.79508514,-28.10214755,-4.97208566,-50.2114128,-2.79247999,-30.1206731,
-8.478177729,3.754860097,-28.7875515,17664.67066,-71.05952357,-17.88921224,-7.939737923,-44.88696601,-1.845758235,-33.7578915,
-2.24702421,6.521582336,-27.88198656,17764.47106,-77.93837549,-14.23479127,-8.268780331,-44.02699251,-2.103994108,-33.30544286,
