## Torsion are defined with the following atomIDs:
# dihed1: ai= 25 aj= 26 ak= 29 al= 4267
# dihed2: ai= 24 aj= 23 ak= 22 al= 4
# dihed3: ai= 22 aj= 4 ak= 10 al= 1
# dihed4: ai= 2 aj= 11 ak= 12 al= 13
# dihed5: ai= 5 aj= 6 ak= 3 al= 18
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5
342  166.930  -13.084 -176.889   37.544  -17.782
343    2.684  -18.528 -146.836   37.317  -30.800
344  172.044    6.183 -135.777   50.893   -6.256
345   -8.648  -24.888 -149.132   44.757  -31.042
346    3.973  -30.593 -122.842   55.487  -34.968
347   -0.792  -31.058 -109.400   27.970  -10.836
348  165.086  -44.407 -128.556   50.305  -28.909
349   26.991  -16.156 -158.251   51.078  -31.095
350   43.441  -12.591 -147.098   21.316    1.179
351  173.061  -17.473 -154.126   45.888  -17.473
352 -163.734  -23.537 -127.592   27.872  -30.228
353 -172.377  -20.811 -166.112   70.241  -14.368
354   12.926   -8.332 -132.881   46.543  -22.253
355 -172.837  -43.271 -130.718   27.551  -18.438
356 -164.849  -12.076 -138.322   33.458  -23.712
357 -167.733   -8.775 -147.928   35.866   -7.098
358 -173.255  -15.004 -142.278   30.387  -29.701
359  159.657  -20.910 -167.873   61.957  -38.632
360  156.151  -15.110 -130.788   55.910  -10.479
361 -178.080  -21.053 -142.608   39.524   -5.518
362  134.716   -9.300 -138.073   38.950  -24.137
363  -10.393  -21.036 -112.715   37.751  -27.104
364 -178.387  -34.170 -147.843   37.647  -11.797
365   34.038   -5.426 -155.221   43.235  -37.757
366  169.320  -23.649 -148.015   40.844  -24.323
367 -178.593  -13.452 -162.764   41.932   -5.901
368   25.540  -19.361 -138.891   30.643  -23.561
369  171.456  -21.006 -141.399   38.718  -22.656
370   14.284   -4.754 -136.402   30.049  -13.484
371  175.355   -1.200 -159.138   38.303  -24.519
372  -16.948  -16.875 -142.991   45.434  -35.498
373  -27.113  -28.014 -133.214   33.128  -29.812
374  -21.582  -10.320 -162.339   41.801  -16.124
375 -166.879    1.519 -142.949   29.529   -2.465
376  162.046  -16.985 -142.967   29.215  -29.954
377  -17.444  -19.540 -110.127   35.709  -26.268
378 -168.253  -13.242 -128.153   34.022  -12.904
379  175.126  -39.971 -143.669   35.995  -23.985
380    3.095  -31.527 -134.984   31.537  -39.761
381    9.401    2.318 -157.309   51.228  -35.615
382  -11.107  -19.084 -123.268   48.162  -18.783
383 -142.145  -22.171 -133.396   18.423  -36.053
384 -172.296  -23.091 -139.741   36.248  -33.459
385   -3.629   -5.368 -155.930   49.869  -29.762
386   10.913   -6.452 -156.540   39.960  -31.931
387  -27.857  -29.074 -128.555   39.705  -19.486
388 -165.447  -34.669 -162.780   34.675   -6.491
389  -25.162   -0.637 -170.160   53.107  -17.074
390   60.139    1.313 -154.993   61.005  -22.392
391   98.226  -27.695 -150.321   36.818  -16.699
392   11.842   -3.664 -153.708   48.387  -17.986
393   78.406  -17.042 -151.913   31.216  -29.361
394    1.520  -17.984 -156.743   52.135  -26.942
395 -172.186  -10.909 -145.023   43.145  -23.847
396   12.716  -12.562 -138.554   39.432   -9.991
397   -5.283   -8.934 -144.821   44.678  -22.861
398 -173.316   -7.509 -159.230   26.990   -2.580
399   16.269  -17.582 -128.799   33.836  -26.493
400   15.738   -0.948 -144.577   39.964  -23.244
401  167.751  -43.428 -135.168   25.550  -50.809
402  170.564   -8.616 -140.771   45.358  -34.470
403  -34.477  -20.926 -153.160   43.508    4.016
404  166.563  -49.104 -133.044   34.588  -28.267
405   28.759   -2.949 -160.368   48.070  -34.443
406  151.049  -22.300 -135.560   34.501  -14.683
407    2.326    9.916  161.715  127.536  -22.320
408 -176.724   15.425  158.904  126.244  -29.532
409   16.673  -25.978 -140.798   36.631  -15.167
410    8.148   -3.668  178.779   43.913  -28.085
411   32.427   -3.353 -153.406   43.187  -32.401
412  168.782  -34.359 -141.310   43.774  -16.523
413    1.832  -15.418 -136.710   42.169  -14.519
414   -1.241  -27.454 -163.036   52.561  -11.779
415  167.913  -28.079 -133.307   32.204  -11.987
416  142.139  -34.517 -152.012   42.661  -13.551
417  137.551  -19.728 -134.165   41.856  -10.786
418  -18.328    8.022 -155.883   53.683  -23.008
419  173.995  -21.524 -148.986   39.292  -19.498
420   -2.952  -28.447 -130.555   21.249   -2.891
421   42.154  -23.751 -149.484   35.702  -25.275
