  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      233        0.718        4.538            0      376.118       78.452       80.894
      234        0.726        4.533            0      372.837       66.065       76.512
      235        0.882        4.569            0      378.025       66.645       78.458
      236        0.641        4.533            0      373.686       57.162       77.277
      237        0.700        4.571            0      371.785       54.928       75.754
      238        0.720        4.563            0      371.343       70.868       76.874
      239        0.745        4.549            0      371.626       60.738       80.622
      240        0.970        4.472            0      372.206       79.430       81.070
      241        0.703        4.581            0      372.883       91.046       78.773
      242        0.787        4.513            0      372.140       88.209       81.994
      243        0.652        4.548            0      371.546       72.325       79.749
      244        0.741        4.486            0      368.661       41.962       79.986
      245        0.689        4.643            0      373.653       73.818       77.618
      246        0.689        4.532            0      372.066       64.678       76.944
      247        0.629        4.475            0      372.254       69.866       80.925
      248        0.670        4.549            0      374.942       59.610       78.623
      249        0.783        4.525            0      371.838       79.095       78.163
      250        0.655        4.550            0      373.731       70.138       78.924
      251        0.729        4.542            0      370.169       70.240       80.032
      252        0.668        4.515            0      374.547       53.136       78.329
      253        0.633        4.548            0      373.311       65.981       79.076
      254        0.693        4.587            0      373.436       65.727       78.474
      255        0.774        4.577            0      374.180       83.775       78.353
      256        0.792        4.502            0      372.842       75.563       78.909
      257        0.809        4.545            0      371.782       70.489       79.776
      258        0.668        4.565            0      373.824       51.845       78.701
      259        0.748        4.509            0      369.676       80.207       79.662
      260        0.695        4.567            0      372.753       63.916       77.581
      261        0.724        4.592            0      375.874       65.884       79.648
      262        0.867        4.509            0      374.178       71.772       80.394
      263        0.614        4.562            0      372.947       64.713       75.438
      264        0.686        4.459            0      370.563       55.607       78.452
      265        0.677        4.503            0      374.710       65.263       78.008
      266        0.710        4.543            0      369.811       89.068       81.190
      267        0.922        4.474            0      374.037       67.253       76.228
      268        0.737        4.539            0      372.631       67.817       80.864
      269        0.751        4.587            0      372.780       64.455       75.813
      270        0.778        4.557            0      374.227       71.037       80.674
      271        0.763        4.629            0      373.981       62.439       78.691
      272        0.670        4.547            0      374.207       74.188       80.882
      273        0.840        4.532            0      374.412       57.782       80.673
      274        0.721        4.539            0      372.780       56.839       75.656
      275        0.726        4.529            0      371.487       64.226       77.365
      276        0.805        4.527            0      373.381       58.696       76.377
      277        0.851        4.542            0      374.596       59.497       77.565
      278        0.644        4.551            0      374.468       65.153       77.189
      279        0.760        4.543            0      371.697       63.565       77.616
      280        0.656        4.549            0      372.308       72.239       79.254
      281        0.688        4.554            0      373.978       54.029       77.539
      282        0.826        4.560            0      370.954       71.606       77.288
      283        0.676        4.618            0      377.542       48.895       76.326
      284        0.796        4.565            0      372.700       77.289       78.467
      285        0.786        4.572            0      373.291       77.940       77.842
      286        0.865        4.565            0      376.637       69.412       81.163
      287        0.665        4.500            0      370.189       64.800       77.256
      288        0.866        4.476            0      370.387       67.130       77.083
      289        0.819        4.561            0      372.611       78.048       78.118
      290        0.736        4.555            0      371.908       66.604       77.464
      291        0.691        4.577            0      373.297       80.726       79.035
      292        0.713        4.605            0      375.502       76.807       77.216
      293        0.741        4.562            0      375.148       60.958       79.266
      294        0.773        4.583            0      375.984       74.829       77.665
      295        0.936        4.530            0      371.648       87.207       79.477
      296        0.861        4.522            0      370.314       75.043       74.618
      297        0.741        4.582            0      373.777       72.058       78.978
      298        0.834        4.584            0      372.770       74.789       78.211
      299        0.748        4.583            0      377.902       72.224       78.927
      300        0.906        4.551            0      370.657       61.193       79.338
      301        0.808        4.561            0      376.739       57.019       77.110
      302        0.746        4.611            0      374.083       64.629       80.722
      303        0.880        4.532            0      375.061       66.977       80.389
      304        0.874        4.545            0      372.695       78.215       77.420
      305        0.707        4.573            0      372.987       66.765       76.942
      306        0.723        4.533            0      373.730       73.708       79.408
      307        0.774        4.542            0      373.325       78.374       78.842
      308        0.855        4.548            0      377.377       80.568       79.333
      309        0.936        4.597            0      371.963       72.914       83.730
      310        0.688        4.525            0      374.359       73.224       78.971
      311        0.841        4.521            0      375.375       62.176       77.819
      312        0.768        4.558            0      375.500       74.615       76.871
      313        0.705        4.497            0      373.821       64.575       78.179
      314        0.743        4.532            0      372.470       75.898       79.097
      315        0.938        4.529            0      375.379       92.015       79.277
      316        0.960        4.541            0      369.246       71.547       77.790
      317        0.684        4.492            0      373.848       58.651       79.020
      318        0.724        4.551            0      374.440       84.468       81.361
      319        0.708        4.603            0      372.947       74.740       79.897
      320        0.731        4.524            0      370.529       42.500       79.787
      321        0.867        4.556            0      372.431       66.223       78.195
      322        0.790        4.537            0      375.180       79.451       74.436
      323        0.811        4.516            0      371.871       86.916       76.178
      324        0.939        4.540            0      376.454       71.810       79.730
      325        0.698        4.550            0      375.061       68.722       76.423
      326        0.816        4.590            0      377.583       86.674       77.858
      327        0.840        4.523            0      372.098       75.961       77.345
      328        0.843        4.485            0      372.342       61.521       80.946
      329        0.745        4.540            0      370.586       77.661       77.460
      330        0.834        4.527            0      371.082       72.173       79.556
      331        0.798        4.513            0      370.971       76.309       77.595
      332        0.794        4.534            0      374.180       63.043       77.832
      333        0.821        4.576            0      373.662       80.684       79.955
      334        0.674        4.538            0      372.264       69.618       79.561
      335        0.784        4.557            0      371.016       59.025       81.012
      336        0.754        4.554            0      374.732       71.295       79.951
      337        0.805        4.524            0      373.419       77.038       77.171
      338        0.778        4.588            0      377.044       84.272       78.707
      339        0.846        4.492            0      373.429      114.766       79.832
      340        0.747        4.459            0      369.917       86.710       77.368
      341        0.705        4.533            0      372.705       68.405       80.001
      342        0.580        4.559            0      373.152       64.063       79.744
      343        0.719        4.544            0      375.451       74.517       77.793
      344        0.910        4.540            0      374.968       78.614       80.879
      345        0.768        4.571            0      375.085       69.972       80.964
      346        0.929        4.543            0      377.313       61.009       80.939
      347        0.800        4.457            0      370.171       63.035       79.059
